airline_name,profit_margins,operating_margins,return_on_assets,return_on_equity,debt_to_equity,total_cash,total_debt,revenue_ttm,ebitda_ttm
Delta Air Lines,0.078990005,0.08930001,0.04502,0.27693,102.498,4310000128.0,21373999104.0,63364001792.0,7772000256.0
Air Canada,0.028789999,0.03033,0.018860001,0.25869,446.777,5525000192.0,11576000512.0,22371999744.0,2238000128.0
Lufthansa,0.04176,0.07626,0.01895,0.15246001,126.944,9381000192.0,14497000448.0,39346999296.0,3392999936.0
Turkish Airlines,0.11695,0.14799,0.028959999,0.14207,76.091,6249999872.0,15502000128.0,23428999168.0,2849999872.0
Finnair,0.00592,0.0494,0.00842,0.02912,285.378,1093200000.0,1816999936.0,3106200064.0,259100000.0
Air France,0.048260003,0.05827,0.03442,1.10907,656.218,4713999872.0,15512999936.0,33006999552.0,3672000000.0
KLM Royal Dutch Airlines,0.048260003,0.05827,0.03442,1.10907,656.218,4713999872.0,15512999936.0,33006999552.0,3672000000.0
British Airways,0.093,0.22256,,,248.481,9347999744.0,14807000064.0,33280999424.0,6277749760.0
Iberia,0.093,0.22256,,,248.481,9347999744.0,14807000064.0,33280999424.0,6277749760.0
Vueling,0.093,0.22256,,,248.481,9347999744.0,14807000064.0,33280999424.0,6277749760.0
Aegean Airlines,0.07849,0.22809,0.04498,0.28395998,292.466,732899968.0,1630499968.0,1859445888.0,277924320.0
Qantas Airways,0.06737,0.090050004,0.06987,2.9805,1016.092,2212999936.0,7955999744.0,23822999552.0,4120999936.0
Air New Zealand,0.01865,0.00298,0.0125899995,0.0637,145.838,1436000000.0,2838000128.0,6754999808.0,551000000.0
ANA All Nippon Airways,0.06494,0.12094,0.034730002,0.12322,81.908,1229950025728.0,1188294033408.0,2436455989248.0,369976999936.0
Japan Airlines,0.064899996,0.12669,0.04314,0.12172,68.373,915057999872.0,866647015424.0,1998822965248.0,363664998400.0
Korean Air,0.04081,0.026129998,0.022090001,0.08485,189.536,6398714839040.0,21359772041216.0,23231222251520.0,4020558364672.0
Singapore Airlines,0.11535,0.08715,0.02706,0.15387,68.227,8511300096.0,10874800128.0,19717599232.0,3382500096.0
Cathay Pacific Airways,0.091000006,0.10912,0.04768,0.17557,126.312,8912000000.0,65253998592.0,109075996672.0,20867999744.0
China Southern Airlines,-0.00764,0.118090004,0.01406,0.00829,399.837,19520000000.0,226236006400.0,177228005376.0,18788999168.0
AirAsia,0.67289,-0.35402,-0.013200001,,,384624000.0,1493650048.0,1834062976.0,-591654976.0
IndiGo,0.03793,0.15758,,,866.462,496290988032.0,748138004480.0,846754021376.0,113799249920.0
China Airlines,0.07217,0.08446,0.03972,0.17684,102.419,49897320448.0,101420400640.0,207927525376.0,36992933888.0
EVA Air,0.11868,0.15137,0.06674,0.20583001,79.777,74038493184.0,111969255424.0,219246313472.0,50891485184.0
STARLUX Airlines,0.0062300004,-0.0059399996,0.00816,0.010039999,256.481,14609145856.0,82929000448.0,42316455936.0,4548795904.0
LATAM Airlines,0.10235,0.16944,0.08875,1.4288901,604.884,2150113024.0,8088525824.0,14265056256.0,3556321024.0
Garuda Indonesia,-0.03822,0.02628,0.021329999,,,243136752.0,4244744960.0,3244864256.0,372676736.0
Air Astana,,,,,,,,,
